Name,Broadband,Telephone,Mobile,FiveG
A,8.076984774,9.172871956,10.13427889,8.433312797
B,7.817966256,9.187778161,8.541098685,7.627841688
C,8.607140224,9.945790572,8.239234995,10.41106946
D,8.099690083,10.38608782,9.913915541,9.619728514
E,9.968342973,9.075297286,9.004529006,7.693781553
F,9.820826083,9.324605886,9.55911621,8.878919273
G,8.637464478,9.947476542,7.01277422,9.278933338
H,8.861570212,8.432886755,9.43891124,8.164596368
I,8.102725814,8.285737495,10.03976967,8.434171816
J,8.958467342,7.684473788,8.677270208,9.309011563
K,8.100344956,8.559692897,9.502289585,9.208688467
L,7.353488628,9.818989205,8.354229561,9.55655466
M,8.632271984,7.613355373,8.958179729,8.782235167
N,9.902818232,9.075837397,9.480709137,9.722730538
O,10.03234316,7.782587013,9.001253945,10.44013267
T,7.790108758,8.759810276,8.28979305,11.37305656
